"APA91bE_N660pZrokC783MoCAUpj22IQUjfx-xjm45m1b5bBpUBnrk3klt_nlfNftMMdiwYiawb4z8u2YDHaT_SAprIGkx5aW0ux8LJDKvPNZD6MX1UQme2RgIFzeqB9QSbfM0e9UxJ8";"Android";"Ligne T4 : trafic ralenti";"EFFIA-2161024060002-6922";"20161102T123000";
"APA91bEzhgINMCpwCIaw6vjIRk44iaY5CyLxt8TnYNdOUnhUI9tnt7cTSHPNmT01VB13Uxe4mGMPhq0IUWgsZ9IyR2Hfm33ck_SXXXshiGZ9Ol3PMYA3HaSqUjCw_Butld8ZOXgGP2HN";"Android";"Ligne T4 : trafic ralenti";"EFFIA-2161024060002-6922";"20161102T123000";
"APA91bG6bCs-32cBwbNl6bpR3qkgvtFLD6uW_Po6yZA1qlB2ofAdemOhQtRLCwX2FpG6NGqdDlWoL4GDoPdV8ws5Lz6EwdP2tJl8ZefJCgh581Kob3B57nGCB_hIMkIvuOOsmLbfGyZX";"Android";"Ligne T4 : trafic ralenti";"EFFIA-2161024060002-6922";"20161102T123000";
"APA91bFLh0JXYOhvH3nKZvRbjflop0KCmFwdSxp9f0Cv9LDqAl2unUbz0iZm2EZHT8pk_1W9jeb22B_JlFDwJNfn_mmcaRSwSFE-UflcL9NjrwTggffRbrywWknfuZGQ8sfD8WAcAeek";"Android";"Ligne T4 : trafic ralenti";"EFFIA-2161024060002-6922";"20161102T123000";
"APA91bGd05zUwtnnxC5_n2yT0mcZ1mxOj8PVwkyq5gY1Bf1ffil_QBeibtae41odHNqtFJpeaHrNVbExaEef4IM5pyv1C2FqSl9_BSXTpAeBfgg_uRuX0ao6o4tczLOji9JCyIB50U2J";"Android";"Ligne T4 : trafic ralenti";"EFFIA-2161024060002-6922";"20161102T123000";
"d3a84577bb9b99a11b7ac35c1244ab9fbe84ef7164c7c8ef7ea2f700d43dd8ce";"IOS";"Ligne T4 : trafic ralenti";"EFFIA-2161024060002-6922";"20161102T123000";
"5b0ff72c1ab5b0921fbf3928691a8e5853800678a7688170ffcaf9590302ddd3";"IOS";"Ligne T4 : trafic ralenti";"EFFIA-2161024060002-6922";"20161102T123000";
"APA91bERYhrxiw8YIqlPw-mmmgjzfsbfkYkzYqQN-gvUc2KW4f8ajW3qgEwpB2-pk_UMbsJmbFRt7GZUo7BeNIGZglwNNWAx1Ppp1urBKv38akLAcORQUM0RznkS2pli6T-_JSYLHdQZ";"Android";"Ligne T4 : trafic ralenti";"EFFIA-2161024060002-6922";"20161102T123000";
"APA91bHF_xnHCFt7Sc1XyGm_BjNr9FHEFTJsNzOAsdH4B9nRxLP62VkiAnS9Rm_tTXmYdJ-4sORGQoP8iSE2dJo3AxsbhdEAsj9ibSgYfkbKyQjnn9CxX1kG4Q-56OUrJxNNiGm0d06W";"Android";"Ligne T4 : trafic ralenti";"EFFIA-2161024060002-6922";"20161102T123000";
"APA91bGTaDp9vztSt80unWpJ-hf6NlYxBvvAJwCjsTjMtQY1jFwx5tFAWksZqc8HyDQ91B5kwdW3id1qOI3338Y5qbBxXxjtVuYmIuGmvipTq3fq14xgstFDOf6rEOkM0haUYvXzzp8t";"Android";"Ligne T4 : trafic ralenti";"EFFIA-2161024060002-6922";"20161102T123000";
